epoch,accuracy,loss,val_accuracy,val_loss
0,0.7379999756813049,0.8038241863250732,0.893750011920929,0.29219692945480347
1,0.8180000185966492,0.4499795436859131,0.8100000023841858,0.5538047552108765
2,0.859000027179718,0.36155033111572266,0.7149999737739563,1.091546893119812
3,0.8980000019073486,0.3049897253513336,0.8824999928474426,0.36956489086151123
4,0.8999999761581421,0.26676276326179504,0.9049999713897705,0.2911771535873413
5,0.9419999718666077,0.17346587777137756,0.9037500023841858,0.34027040004730225
6,0.9399999976158142,0.1802012026309967,0.9125000238418579,0.2984083294868469
7,0.9430000185966492,0.14742939174175262,0.887499988079071,0.3998356759548187
8,0.9539999961853027,0.13390877842903137,0.8912500143051147,0.501329779624939
9,0.9599999785423279,0.13206130266189575,0.8550000190734863,0.6205029487609863
